"total_score","probabilidad_4RT","probabilidad_MSA"
-5,0.0184784212590025,0.981521578740997
-4.9,0.0196845389702848,0.980315461029715
-4.8,0.0209677002525341,0.979032299747466
-4.7,0.0223326004995411,0.977667399500459
-4.6,0.0237841909838424,0.976215809016158
-4.5,0.0253276887005223,0.974672311299478
-4.4,0.0269685860003236,0.973031413999676
-4.3,0.0287126599030942,0.971287340096906
-4.2,0.0305659809668598,0.96943401903314
-4.1,0.0325349215706758,0.967465078429324
-4,0.034626163450871,0.965373836549129
-3.9,0.0368467043103737,0.963153295689626
-3.8,0.0392038632995641,0.960796136700436
-3.7,0.041705285144631,0.958294714855369
-3.6,0.0443589426758833,0.955641057324117
-3.5,0.0471731374841058,0.952826862515894
-3.4,0.050156498408153,0.949843501591847
-3.3,0.0533179775319364,0.946682022468064
-3.2,0.056666843344279,0.943333156655721
-3.1,0.0602126706913904,0.93978732930861
-3,0.0639653271296992,0.936034672870301
-2.9,0.0679349552673395,0.93206504473266
-2.8,0.0721319506667623,0.927868049333238
-2.7,0.0765669348699005,0.923433065130099
-2.6,0.0812507231024047,0.918749276897595
-2.5,0.086194286216178,0.913805713783822
-2.4,0.0914087064413978,0.908591293558602
-2.3,0.0969051265421805,0.903094873457819
-2.2,0.102694692005842,0.897305307994158
-2.1,0.108788485946225,0.891211514053775
-2,0.115197456468614,0.884802543531386
-1.9,0.121932336329148,0.878067663670852
-1.8,0.129003554826763,0.870996445173237
-1.7,0.136421141991992,0.863578858008008
-1.6,0.14419462528486,0.85580537471514
-1.5,0.152332919184141,0.847667080815859
-1.4,0.160844208241419,0.839155791758581
-1.3,0.169735824384519,0.830264175615481
-1.2,0.17901411948304,0.820985880516961
-1.1,0.188684334430316,0.811315665569684
-1,0.198750466245895,0.801249533754105
-0.899999999999999,0.209215134954047,0.790784865045953
-0.8,0.220079452239036,0.779920547760964
-0.7,0.231342894107659,0.768657105892341
-0.6,0.243003179993648,0.756996820006352
-0.5,0.255056160905751,0.744943839094249
-0.399999999999999,0.267495719340161,0.732504280659839
-0.3,0.280313683736945,0.719686316263055
-0.199999999999999,0.293499760248516,0.706500239751484
-0.0999999999999996,0.307041484496453,0.692958515503547
0,0.320924195813973,0.679075804186027
0.100000000000001,0.335131036200399,0.664868963799601
0.2,0.349642975850195,0.650357024149805
0.300000000000001,0.364438866665513,0.635561133334487
0.4,0.379495524625135,0.620504475374865
0.5,0.39478784127632,0.60521215872368
0.600000000000001,0.410288923955732,0.589711076044268
0.7,0.425970263651871,0.574029736348129
0.800000000000001,0.441801928717906,0.558198071282094
0.9,0.457752781956567,0.542247218043433
1,0.473790717954622,0.526209282045379
1.1,0.489882916969879,0.510117083030121
1.2,0.505996111193256,0.494003888806744
1.3,0.52209685884302,0.47790314115698
1.4,0.538151821314495,0.461848178685505
1.5,0.554128038516713,0.445871961483287
1.6,0.569993197581986,0.430006802418014
1.7,0.5857158903327,0.4142841096673
1.8,0.601265855222646,0.398734144777354
1.9,0.61661419992311,0.38338580007689
2,0.631733601276638,0.368266398723362
2.1,0.646598479970159,0.353401520029841
2.2,0.661185147957984,0.338814852042016
2.3,0.67547192736707,0.32452807263293
2.4,0.68943924031554,0.31056075968446
2.5,0.703069669746457,0.296930330253543
2.6,0.716347992000735,0.283652007999265
2.7,0.729261182408469,0.270738817591531
2.8,0.741798395653533,0.258201604346467
2.9,0.753950923053549,0.246049076946451
3,0.76571212919207,0.23428787080793
3.1,0.777077370542034,0.222922629457966
3.2,0.788043898833031,0.211956101166969
3.3,0.798610751946178,0.201389248053822
3.4,0.808778635078521,0.191221364921479
3.5,0.818549794814236,0.181450205185764
3.6,0.827927888583963,0.172072111416037
3.7,0.836917851797868,0.163082148202132
3.8,0.84552576471379,0.15447423528621
3.9,0.853758720859661,0.146241279140339
4,0.861624698578722,0.138375301421278
4.1,0.869132437015209,0.130867562984791
4.2,0.876291317613955,0.123708682386045
4.3,0.883111251975321,0.116888748024679
4.4,0.889602576691117,0.110397423308883
4.5,0.895775955590684,0.104224044409316
4.6,0.901642289650797,0.0983577103492034
4.7,0.907212634669449,0.0927873653305514
4.8,0.912498126671831,0.0875018733281686
4.9,0.917509914906347,0.0824900850936525
5,0.922259102198225,0.0777408978017745
